publicationid,pubtypeid,year,citation,articletitle,journal,volume,issue,pages,citationnumber,doi,booktitle,numvolumes,edition,volumetitle,seriestitle,seriesvolume,publisher,url,city,state,country,originallanguage,notes,recdatecreated,recdatemodified
15444,1,2008,"Romaschenko, K., P.M. Peterson, R.J. Soreng, N. Garcia-Jacas, O. Futorna, and A. Susanna. 2008. Molecular phylogenetic analysis of the American Stipeae (Poaceae) resolves Jarava sensu lato polyphyletic: evidence for a new genus, Pappostipa. Journal of the Botanical Research Institute of Texas 2(1):165-192.","Molecular phylogenetic analysis of the American Stipeae (Poaceae) resolves Jarava sensu lato polyphyletic: evidence for a new genus, Pappostipa",Journal of the Botanical Research Institute of Texas,2,1,165-192,,,,,,,,,,,,,,,,2019-02-07 02:31:32,2019-02-07 02:31:32
15445,1,1998,"Taylor, R.E., D.L. Kirner, J.R. Southon, and J.C. Chatters. 1998. Radiocarbon dates of Kennewick man. Science 280(5367):1171-1173. https://www.jstor.org/stable/2896031.",Radiocarbon dates of Kennewick man,Science,280,5367,1171-1173,,,,,,,,,,https://www.jstor.org/stable/2896031,,,,,,2019-02-07 14:26:07,2019-02-07 14:26:07
15446,1,2016,"Commendador, A.S., and B.P. Finney. 2016. Holocene environmental change in the eastern Snake River Plain of Idaho, USA, as inferred from stable isotope analyses of small mammals. Quaternary Research 85(3):358-370. [DOI: 10.1016/j.yqres.2016.03.008]","Holocene environmental change in the eastern Snake River Plain of Idaho, USA, as inferred from stable isotope analyses of small mammals",Quaternary Research,85,3,358-370,,10.1016/j.yqres.2016.03.008,,,,,,,,,,,,,,2019-02-07 16:43:14,2019-03-21 13:36:05
15447,2,2017,"Hartmann, H.E.K., and M. Gerbaulet. 2017. Aizoaceae. Pages 3-22 in H.E.K. Hartmann, editor. Aizoaceae, second edition. Illustrated Handbook of Succulent Plants. Springer-Verlag GmbH, Berlin, Germany. [DOI: 10.1007/978-3-662-49260-4_1]",Aizoaceae,,,,3-22,,10.1007/978-3-662-49260-4_1,Aizoaceae,,second,,Illustrated Handbook of Succulent Plants,,Springer-Verlag GmbH,,Berlin,,Germany,,,2019-02-07 18:35:10,2019-02-07 18:35:10
15448,1,2010,"Benslama, M., V. Andrieu-Ponel, F. Guiter, M. Reille, J.L. de Beaulieu, J. Migliore, and M. Djamali. 2010. Nouvelles contributions à l''histoire tardiglaciaire et holocène de la végétation en Algérie : analyses polliniques de deux profils sédimentaires du complexe humide d''El-Kala. [Pollen analysis from two littoral marshes (Bourdim and Garaat El-Ouez) in the El-Kala wet complex (North-East Algeria). Lateglacial and Holocene history of Algerian vegetation]. Comptes Rendus Biologies 333:744-754.",Nouvelles contributions à l'histoire tardiglaciaire et holocène de la végétation en Algérie : analyses polliniques de deux profils sédimentaires du complexe humide d'El-Kala. [Pollen analysis from two littoral marshes (Bourdim and Garaat El-Ouez) in the El-Kala wet complex (North-East Algeria). Lateglacial and Holocene history of Algerian vegetation],Comptes Rendus Biologies,333,,744-754,,,,,,,,,,,,,,,,2019-02-08 09:55:01,2019-02-08 09:55:01
15449,1,2007,"Fyfe, R.M. 2007. The importance of local-scale openness within regions dominated by closed woodland. Journal of Quaternary Science 22(6):571-578.",The importance of local-scale openness within regions dominated by closed woodland,Journal of Quaternary Science,22,6,571-578,,,,,,,,,,,,,,,,2019-02-08 10:10:43,2019-02-11 10:10:11
15450,6,1997,"Davies, F.M. 1997. Holocene palaeoenvironmental studies in the Oban region, western Scotland, upon Tyne. Doctoral dissertation. Department of Geography, University of Newcastle, Newcastle, United Kingdom.","Holocene palaeoenvironmental studies in the Oban region, western Scotland, upon Tyne",,,,,,,,,,,,,"Department of Geography, University of Newcastle",,Newcastle,,United Kingdom,,,2019-02-08 13:13:17,2019-02-08 13:13:17
15451,1,2000,"Macklin, M.G., C. Bonsall, F.M. Davies, and M.R. Robinson. 2000. Human–environment interactions during the Holocene: new data and interpretations from the Oban area, Argyll, Scotland. The Holocene 10(1):109-121.","Human–environment interactions during the Holocene: new data and interpretations from the Oban area, Argyll, Scotland",The Holocene,10,1,109-121,,,,,,,,,,,,,,,,2019-02-08 13:13:47,2019-02-08 13:13:47
15452,1,1988,"Lézine, A.-M. 1988. New pollen data from the Sahel, Senegal. Review of Palaeobotany and Palynology 55((1-3)):141-154. [DOI: 10.1016/0034-6667(88)90082-6]","New pollen data from the Sahel, Senegal",Review of Palaeobotany and Palynology,55,(1-3),141-154,,10.1016/0034-6667(88)90082-6,,,,,,,,,,,,,,2019-02-08 20:52:07,2019-02-08 20:52:07
15453,1,1989,"Lézine, A.-M. 1989. Late quaternary vegetation and climate of the Sahel. Quaternary Research 32(3):317-334. [DOI: 10.1016/0033-5894(89)90098-7]",Late quaternary vegetation and climate of the Sahel,Quaternary Research,32,3,317-334,,10.1016/0033-5894(89)90098-7,,,,,,,,,,,,,,2019-02-08 21:41:06,2019-02-08 21:41:06
15454,1,1993,"Dupont, L.M. 1993. Vegetation zones in NW Africa during  the Brunhes chron reconstructed from marine palynological  data. Quaternary Science Reviews 12(3):189-202. [DOI: 10.1016/0277-3791(93)90053-O]",Vegetation zones in NW Africa during  the Brunhes chron reconstructed from marine palynological  data,Quaternary Science Reviews,12,3,189-202,,10.1016/0277-3791(93)90053-O,,,,,,,,,,,,,,2019-02-09 05:38:16,2019-02-09 20:43:38
15455,1,1992,"Dupont, L.M., and C.O.C. Agwu. 1992. Latitudinal shifts of forest and savanna in N.W. Africa during the Brunhes chron: further marine palynological results from the site M 16415 (9°N 19°W). Vegetation History and Archaeobotany 1(3):163-175.",Latitudinal shifts of forest and savanna in N.W. Africa during the Brunhes chron: further marine palynological results from the site M 16415 (9°N 19°W),Vegetation History and Archaeobotany,1,3,163-175,,,,,,,,,,,,,,,,2019-02-09 05:54:36,2019-02-09 05:54:36
15456,1,1994,"Leroy, S., and L. Dupont. 1994. Development of vegetation and continental aridity in northwestern Africa during the Late Pliocene: the pollen record of ODP Site 658. Palaeogeography, Palaeoclimatology, Palaeoecology 109(2-4):295- 316. [DOI: 10.1016/0031-0182(94)90181-3]",Development of vegetation and continental aridity in northwestern Africa during the Late Pliocene: the pollen record of ODP Site 658,"Palaeogeography, Palaeoclimatology, Palaeoecology",109,2-4,295- 316,,10.1016/0031-0182(94)90181-3,,,,,,,,,,,,,,2019-02-09 06:00:29,2019-02-09 06:00:29
15457,1,1997,"Leroy, S.A.G., and L.M. Dupont. 1997. Marine palynology of the ODP site 658 (N-W Africa) and its contribution to the stratigraphy of Late Pliocene. Geobios 30(3):351-359. [DOI: 10.1016/S0016-6995(97)80194-5]",Marine palynology of the ODP site 658 (N-W Africa) and its contribution to the stratigraphy of Late Pliocene,Geobios,30,3,351-359,,10.1016/S0016-6995(97)80194-5,,,,,,,,,,,,,,2019-02-09 06:03:56,2019-02-09 06:03:56
15458,1,1989,"Dupont, L.M., H.-J. Beug, H. Stalling, and R. Tiedemann. 1989. First palynological results from Site 658 at 21°N off northwest Africa: pollen as climate indicators. Proceedings of the Ocean Drilling Program, Scientific Results 108:93-111. [DOI: 10.2973/odp.proc.sr.108.174.1989]",First palynological results from Site 658 at 21°N off northwest Africa: pollen as climate indicators,"Proceedings of the Ocean Drilling Program, Scientific Results",108,,93-111,,10.2973/odp.proc.sr.108.174.1989,,,,,,,,,,,,,,2019-02-09 06:37:07,2019-02-11 00:51:32
15459,1,1984,"Ritchie, J.C. 1984. Analyse pollinique de sédiments Holocènes Supérieurs des Hauts Plateaux du Maghreb Oriental. Pollen et Spores 26(3-4):489-496.",Analyse pollinique de sédiments Holocènes Supérieurs des Hauts Plateaux du Maghreb Oriental,Pollen et Spores,26,3-4,489-496,,,,,,,,,,,,,,,,2019-02-11 07:43:20,2019-02-11 07:43:20
15460,1,2003,"Fyfe, R.M., A.G. Brown, and B.J. Coles. 2003. Mesolithic to Bronze Age vegetation change and human activity in the Exe Valley, Devon, UK. Proceedings of the Prehistoric Society 69:161-181.","Mesolithic to Bronze Age vegetation change and human activity in the Exe Valley, Devon, UK",Proceedings of the Prehistoric Society,69,,161-181,,,,,,,,,,,,,,,,2019-02-11 09:58:22,2019-02-11 09:58:22
15461,1,2012,"Fyfe, R.M., and J. Woodbridge. 2012. Differences in time and space in upland vegetation patterning: analysis of pollen data from Dartmoor, UK. Lanscape Ecology 27(5):745-760.","Differences in time and space in upland vegetation patterning: analysis of pollen data from Dartmoor, UK",Lanscape Ecology,27,5,745-760,,,,,,,,,,,,,,,,2019-02-11 10:34:52,2019-02-11 10:34:52
15462,1,2013,"Djamali, M., B. Gambin, N. Marriner, V. Andrieu-Ponel, T. Gambin, E. Gandouin, S. Lanfranco, F. Médail, D. Pavon, P. Ponel, and C. Morhange. 2013. Vegetation dynamics during the early to mid-Holocene transition in NW Malta, human impact versus climatic forcing. Vegetation History and Archaeobotany 22:367-380. [DOI: 10.1007/s00334-012-0380-0.]","Vegetation dynamics during the early to mid-Holocene transition in NW Malta, human impact versus climatic forcing",Vegetation History and Archaeobotany,22,,367-380,,10.1007/s00334-012-0380-0.,,,,,,,,,,,,,,2019-02-11 12:56:09,2019-02-11 12:56:09
15463,6,1991,"Tiedemann, R. 1991. Acht millionen jahre Klimageschichte von Nordwest Afrika und Paläo-Ozeanographie des angrenzenden Atlantiks: Hochauflösende Zeitreihen von ODP-Sites 658-661. Doctoral dissertation. Christian-Albrechts-Universität, Kiel, Germany. Notes: Also referenced as: Berichte 46. Geologisch-Paläontologisches Institut und Museum Christian-Albrechts-Universität.",Acht millionen jahre Klimageschichte von Nordwest Afrika und Paläo-Ozeanographie des angrenzenden Atlantiks: Hochauflösende Zeitreihen von ODP-Sites 658-661,,,,,,,,,,,,,Christian-Albrechts-Universität,,Kiel,,Germany,,Also referenced as: Berichte 46. Geologisch-Paläontologisches Institut und Museum Christian-Albrechts-Universität.,2019-02-12 01:23:42,2019-02-12 01:23:42
15464,1,2014,"Deforce, K., A. Storme, J. Bastiaens, S. Debruyne, L. Denys, A. Ervynck, E. Meylemans, H. Stieperaere, W. Van Neer, and P. Crombé. 2014. Middle-Holocene alluvial forests and associated fluvial environments: A multi-proxy reconstruction from the lower Scheldt, N Belgium. The Holocene 24(11):1550-1564.","Middle-Holocene alluvial forests and associated fluvial environments: A multi-proxy reconstruction from the lower Scheldt, N Belgium.",The Holocene,24,11,1550-1564,,,,,,,,,,,,,,,,2019-02-12 07:16:10,2019-02-12 07:16:10
15465,6,2009,"Batchelor, C.R. 2009. Middle Holocene Environmental Changes and the History of Yew (Taxus baccata L.) Woodland in the Lower Thames Valley. Doctoral dissertation. University of London, UK., London, United Kingdom.",Middle Holocene Environmental Changes and the History of Yew (Taxus baccata L.) Woodland in the Lower Thames Valley,,,,,,,,,,,,,"University of London, UK.",,London,,United Kingdom,,,2019-02-12 07:52:19,2019-02-26 12:28:48
15466,1,2012,"Branch, N.P., C.R. Batchelor, N.G. Cameron, G.R. Coope, R. Densem, R. Gale, C.P. Green, and A.N. Williams. 2012. Holocene environmental changes in the Lower Thames Valley, London, UK: Implications for understanding the history of Taxus woodland. The Holocene 22(10):1143-1158.","Holocene environmental changes in the Lower Thames Valley, London, UK: Implications for understanding the history of Taxus woodland",The Holocene,22,10,1143-1158,,,,,,,,,,,,,,,,2019-02-12 08:44:10,2019-02-12 08:44:10
15520,1,1985,"Nydal, R., S. Gulliksen, K. Lövseth, and F. Skogseth. 1985. Trondheim natural radiocarbon measurements IX. Radiocarbon 27(3):525-609.",Trondheim natural radiocarbon measurements IX,Radiocarbon,27,3,525-609,,,,,,,,,,,,,,,,2019-02-25 21:16:00,2019-02-25 21:16:00
15467,1,1999,"Waller, M.P., A.J. Long, D. Long, and J.B. Innes. 1999. Waller, M.P., A.J. Long, D. Long, and J.B. Innes. 1999. Patterns and processes in the development of coastal mire vegetation: Multi-site investigations from Walland Marsh, Southeast England. Quaternary Science Reviews 18:1419-1444.","Waller, M.P., A.J. Long, D. Long, and J.B. Innes. 1999. Patterns and processes in the development of coastal mire vegetation: Multi-site investigations from Walland Marsh, Southeast England",Quaternary Science Reviews,18,,1419-1444,,,,,,,,,,,,,,,,2019-02-12 10:16:52,2019-02-12 10:16:52
15468,1,2011,"Deforce, K. 2011. Middle and late Holocene vegetation and landscape evolution of the Scheldt estuary. A palynological study of a peat deposit from Doel (N-Belgium). Geologica Belgica 14(3-4):277-288.",Middle and late Holocene vegetation and landscape evolution of the Scheldt estuary. A palynological study of a peat deposit from Doel (N-Belgium),Geologica Belgica,14,3-4,277-288,,,,,,,,,,,,,,,,2019-02-12 10:31:20,2019-02-12 10:31:20
15469,2,2009,"Grant, M.J., P.D.M. Hughes, and K.E. Barber. 2009. Early to mid-Holocene vegetation-fire interactions and responses to climatic change at Cranes Moor. Pages 198-214 in M.R.B.R.T.H.a.F.F.W.-S. R.M. Briant, editor. The Quaternary of the Solent Basin and West Sussex raised beaches.New Forest, Quaternary Research Association edition. 13. London, United Kingdom.",Early to mid-Holocene vegetation-fire interactions and responses to climatic change at Cranes Moor,,,,198-214,,,The Quaternary of the Solent Basin and West Sussex raised beaches.New Forest,,Quaternary Research Asso,13,,,London,,United Kingdom,,,,,2019-02-12 11:29:34,2019-02-12 11:39:58
15470,1,2014,"Grant, M.J., P.D.M. Hughes, and K.E. Barber. 2014. Climatic influence upon early to mid-Holocene fire regimes within temperate woodlands: a multi-proxy reconstruction from the New Forest, southern England. Journal of Quaternary Science 29(2):175-188.","Climatic influence upon early to mid-Holocene fire regimes within temperate woodlands: a multi-proxy reconstruction from the New Forest, southern England",Journal of Quaternary Science,29,2,175-188,,,,,,,,,,,,,,,,2019-02-12 11:30:27,2019-02-12 11:30:27
15471,1,2010,"Fyfe, R.M., and T. Greeves. 2010. The date and context of a stone row: Cut Hill, Dartmoor, southwest England. Antiquity 84(323):55-70.","The date and context of a stone row: Cut Hill, Dartmoor, southwest England.",Antiquity,84,323,55-70,,,,,,,,,,,,,,,,2019-02-12 13:11:23,2020-02-21 22:45:02
15472,1,2012,"Fyfe, R.M. 2012. Bronze Age landscape dynamics: spatially detailed pollen analysis from a ceremonial complex. Journal of Archaeological Science 39(8):2764-2773.",Bronze Age landscape dynamics: spatially detailed pollen analysis from a ceremonial complex,Journal of Archaeological Science,39,8,2764-2773,,,,,,,,,,,,,,,,2019-02-12 13:37:17,2019-02-12 13:37:17
15473,1,2009,"Ames, K.M., and E.A. Sobel. 2009. Finding and dating Cathlapotle. Archaeology in Washington 15:9-32.",Finding and dating Cathlapotle,Archaeology in Washington,15,,9-32,,,,,,,,,,,,,,,,2019-02-12 18:23:29,2019-02-12 18:23:29
15474,1,2000,"Waller, M.P., and S. Hamilton. 2000. Vegetation history of the English chalklands: a mid-Holocene pollen sequence from the Caburn, East Sussex. Journal of Quaternary Science 15(3):253-272.","Vegetation history of the English chalklands: a mid-Holocene pollen sequence from the Caburn, East Sussex.",Journal of Quaternary Science,15,3,253-272,,,,,,,,,,,,,,,,2019-02-13 07:07:47,2019-02-13 07:07:47
15475,1,1966,"Bartley, D.D. 1966. Pollen analysis of some lake deposits near Bamgurgh in Northumberland. New Phytologist 65(2):141-156.",Pollen analysis of some lake deposits near Bamgurgh in Northumberland,New Phytologist,65,2,141-156,,,,,,,,,,,,,,,,2019-02-13 07:22:12,2019-02-13 07:22:12
15476,1,1964,"Godwin, H., and E.H. Willis. 1964. Cambridge University natural radiocarbon measurements VI. Radiocarbon 6:116-137.",Cambridge University natural radiocarbon measurements VI.,Radiocarbon,6,,116-137,,,,,,,,,,,,,,,,2019-02-13 07:32:47,2019-02-13 07:32:47
15477,1,1969,"Moar, N.T. 1969. Late Weichselian and Flandrian pollen diagrams from south-west Scotland. New Phytologist 68:433-467.",Late Weichselian and Flandrian pollen diagrams from south-west Scotland.,New Phytologist,68,,433-467,,,,,,,,,,,,,,,,2019-02-13 07:33:31,2019-02-13 07:33:31
15478,1,1971,"Neustadt, M.I., and E.M. Zelikson. 1971. Neue Angaben zur stratiraphie der Torfmoore Westsibiriens. Julkaisuaika, Acta Agralia fennica 123:27-32.",Neue Angaben zur stratiraphie der Torfmoore Westsibiriens.,"Julkaisuaika, Acta Agralia fennica",123,,27-32,,,,,,,,,,,,,,,,2019-02-13 14:07:11,2019-02-13 14:07:11
15479,1,2010,"Werner, K., P.E. Tarasov, A.A. Andreev, S. Müller, F. Kienast, M. Zech, W. Zech, and B. Diekmann. 2010. A 12.5-kyr history of vegetation dynamics and mire development with evidence of Younger Dryas larch presence in the Verkhoyansk Mountains, East Siberia, Russia. Boreas 39(1):56-68.","A 12.5-kyr history of vegetation dynamics and mire development with evidence of Younger Dryas larch presence in the Verkhoyansk Mountains, East Siberia, Russia.",Boreas,39,1,56-68,,,,,,,,,,,,,,,,2019-02-13 14:29:31,2019-02-13 14:29:31
15480,2,1989,"Hooghiemstra, H. 1989. Variations of the NW african trade wind regime during the last 140,000 years: changes in pollen flux evidenced by marine sediment records. Pages 733-770 in M. Leinen and M. Sarnthein, editors. Paleoclimatology and paleometeorology: modern and past patterns of global atmospheric transport. Kluwer Academic Publisher, Dordrecht, The Netherlands.","Variations of the NW african trade wind regime during the last 140,000 years: changes in pollen flux evidenced by marine sediment records",,,,733-770,,,Paleoclimatology and paleometeorology: modern and past patterns of global atmospheric transport,,,,,,Kluwer Academic Publisher,,Dordrecht,,The Netherlands,,,2019-02-14 06:51:16,2019-02-14 06:51:16
15481,3,1836,"Richardson, J. 1836. Fauna boreali-americana, or, The zoology of the northern parts of British America. [electronic resource] : containing descriptions of the objects of natural history collected on the late northern land expeditions, under command of Captain Sir John Franklin, R.N.",,,,,,,,"Fauna boreali-americana, or, The zoology of the northern parts of British America. [electronic resource] : containing descriptions of the objects of natural history collected on the late northern land expeditions, under command of Captain Sir John Franklin, R.N.",,,,,,,,,,,,,2019-02-14 14:34:46,2019-02-14 14:34:46
15482,1,2015,"Ames, K.M., M.P. Richards, C.F. Speller, D.Y. Yang, R.L. Lyman, and V.L. Butler. 2015. Stable isotope and ancient DNA analysis of dog remains from Cathlapotle (45CL1), a contact-era site on the Lower Columbia River. Journal of Archaeological Science 57:268-282. [DOI: 10.1016/j.jas.2015.02.038]","Stable isotope and ancient DNA analysis of dog remains from Cathlapotle (45CL1), a contact-era site on the Lower Columbia River",Journal of Archaeological Science,57,,268-282,,10.1016/j.jas.2015.02.038,,,,,,,,,,,,,,2019-02-14 14:58:50,2019-02-14 14:58:50
15483,1,1968,"Butler, B.R. 1968. An introduction to archaeological investigations in the Pioneer Basin locality of eastern Idaho. Tebiwa 11(1):1-30.",An introduction to archaeological investigations in the Pioneer Basin locality of eastern Idaho,Tebiwa,11,1,1-30,,,,,,,,,,,,,,,,2019-02-14 16:52:39,2019-02-14 16:52:39
15484,1,2006,"Jiang, W., Z. Guo, X. Sun, H. Wu, G. Chu, B. Yuan, C. Hatté, and J. Guiot. 2006. Reconstruction of climate and vegetation changes of Lake Bayanchagan (Inner Mongolia): Holocene variability of the East Asian monsoon. Quaternary Research 65(3):411-420. [DOI: 10.1016/j.yqres.2005.10.007]",Reconstruction of climate and vegetation changes of Lake Bayanchagan (Inner Mongolia): Holocene variability of the East Asian monsoon,Quaternary Research,65,3,411-420,,10.1016/j.yqres.2005.10.007,,,,,,,,,,,,,,2019-02-15 06:03:40,2019-02-15 06:03:40
15486,1,1989,"Jones, V.J., A.C. Stevenson, and R.W. Battarbee. 1989. Acidification of Lakes in Galloway, South West Scotland: A Diatom and Pollen Study of the Post-Glacial History of the Round Loch of Glenhead. Journal of Ecology 77(1):1-23.","Acidification of Lakes in Galloway, South West Scotland: A Diatom and Pollen Study of the Post-Glacial History of the Round Loch of Glenhead",Journal of Ecology,77,1,1-23,,,,,,,,,,,,,,,,2019-02-15 10:53:05,2019-02-15 10:53:05
15487,2,1993,"Jones, V.J., and A.C. Stevenson. 1993. South-west Scotland. Round Loch of Glenhead. Pages 609-614 in , Chapman and Hall edition. Volume 6. Quaternary of Scotland. Geological Conservation Review Series. Gordon JE and Sutherland DG, London, United Kingdom.",South-west Scotland. Round Loch of Glenhead,,6,,609-614,,,,,Chapman and Hall,Quaternary of Scotland,Geological Conservation Review Series,,Gordon JE and Sutherland DG,,London,United Kingdom,,,,2019-02-15 10:53:23,2019-02-15 10:53:23
15488,1,1990,"Stevenson, A.C., V.J. Jones, and R.W. Battarbee. 1990. The cause of peat erosion : a palaeolimnological approach. New Phytologist 114:727-735.",The cause of peat erosion : a palaeolimnological approach,New Phytologist,114,,727-735,,,,,,,,,,,,,,,,2019-02-15 10:53:41,2019-02-15 10:53:41
15489,1,2010,"Jiang, W., J. Guiot, G. Chu, H. Wu, B. Yuan, C. Hatté, and Z. Guo. 2010. An improved methodology of the modern analogues technique for palaeoclimate reconstruction in arid and semi-arid regions. Boreas 39(1):145-153. [DOI: 10.1111/j.1502-3885.2009.00115.x]",An improved methodology of the modern analogues technique for palaeoclimate reconstruction in arid and semi-arid regions,Boreas,39,1,145-153,,10.1111/j.1502-3885.2009.00115.x,,,,,,,,,,,,,,2019-02-15 19:39:35,2019-02-15 19:39:35
15490,1,2007,"Jiang, W.Y., and T.S. Liu. 2007. Timing and spatial distribution of mid-Holocene drying over northern China: Response to a southeastward retreat of the East Asian Monsoon. Journal of Geophysical Research: Atmospheres 112:D24111. [DOI: 10.1029/2007JD009050]",Timing and spatial distribution of mid-Holocene drying over northern China: Response to a southeastward retreat of the East Asian Monsoon,Journal of Geophysical Research: Atmospheres,112,,,D24111,10.1029/2007JD009050,,,,,,,,,,,,,,2019-02-15 19:53:16,2019-02-15 19:53:16
15491,1,2012,"Kooyman, B., L.V. Hills, S. Tolman, and P. McNeil. 2012. Late Pleistocene western camel (Camelops Hesternus) hunting in southwestern Canada. American Antiquity 77(1):115-124. [DOI: 10.7183/0002-7316.77.1.115]",Late Pleistocene western camel (Camelops Hesternus) hunting in southwestern Canada,American Antiquity,77,1,115-124,,10.7183/0002-7316.77.1.115,,,,,,,,,,,,,,2019-02-15 21:48:29,2019-02-15 21:48:29
15492,2,2004,"McNeil, P., L.V. Hills, B. Kooyman, and M.S. Tolman. 2004. Late Pleistocene geology and fauna of the Wally''s Beach site (DhPg-8) Alberta, Canada. Pages 79-94 in J.H. Kelley and B. Kooyman, editors. Archaeology on the edge: new perspectives from the northern plains. Canadan Archaeological Association Occassional Paper 4. University of Calgary Press, Calgary, Alberta, Canada.","Late Pleistocene geology and fauna of the Wally''s Beach site (DhPg-8) Alberta, Canada",,,,79-94,,,Archaeology on the edge: new perspectives from the northern plains,,,,Canadan Archaeological Association Occassional Paper,4,University of Calgary Press,,Calgary,Alberta,Canada,,,2019-02-15 22:23:31,2019-02-15 22:23:31
15493,1,2001,"Kooyman, B., M.E. Newman, C. Cluney, M. Lobb, S. Tolman, P. McNeil, and L.V. Hills. 2001. Identification of horse exploitation by Clovis hunters based on protein analysis. American Antiquity 66(4):686-691. [DOI: 10.2307/2694181]",Identification of horse exploitation by Clovis hunters based on protein analysis,American Antiquity,66,4,686-691,,10.2307/2694181,,,,,,,,,,,,,,2019-02-15 23:15:28,2019-02-15 23:15:28
15494,1,2915,"Waters, M.R., T.W. Stafford, B. Kooyman, and L.V. Hills. 2915. Late Pleistocene horse and camel hunting at the southern margin of the ice-free corridor: reassessing the age of Wally’s Beach, Canada. Proceedings of the National Academy of Sciences of the United States of America 112(14):4263-4267. [DOI: 10.1073/pnas.1420650112]","Late Pleistocene horse and camel hunting at the southern margin of the ice-free corridor: reassessing the age of Wally’s Beach, Canada",Proceedings of the National Academy of Sciences of the United States of America,112,14,4263-4267,,10.1073/pnas.1420650112,,,,,,,,,,,,,,2019-02-15 23:19:27,2019-02-15 23:19:27
15495,5,2001,"Tolman, M.S. 2001. DhPg-8: From mammoths to machinery: an overview of 11,000 years along the St. Mary River. Master''s thesis. University of Calgary, Calgary, Alberta, Canada. Notes: DOI: 10.11575/PRISM/19143","DhPg-8: From mammoths to machinery: an overview of 11,000 years along the St. Mary River",,,,,,,,,,,,,University of Calgary,,Calgary,Alberta,Canada,,DOI: 10.11575/PRISM/19143,2019-02-16 17:07:56,2019-02-16 17:08:12
15496,1,2017,"Barrón-Ortiz, C.I., A.T. Rodrigues, J.M. Theodor, B.P. Kooyman, D.Y. Yang, and C.F. Speller. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PLoS ONE 12(8):e0183045. [DOI: 10.1371/journal.pone.0183045]",Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus,PLoS ONE,12,8,,e0183045,10.1371/journal.pone.0183045,,,,,,,,,,,,,,2019-02-16 19:45:23,2019-02-16 19:45:23
15497,1,2018,"Devièse, T., T.W. Stafford, Jr., M.R. Waters, C. Wathen, D. Comeskey, L. Becerra-Valdivia, and T. Higham. 2018. Increasing accuracy for the radiocarbon dating of sites occupied by the first Americans. Quaternary Science Reviews 198:171-180. [DOI: 10.1016/j.quascirev.2018.08.023]",Increasing accuracy for the radiocarbon dating of sites occupied by the first Americans,Quaternary Science Reviews,198,,171-180,,10.1016/j.quascirev.2018.08.023,,,,,,,,,,,,,,2019-02-16 20:23:42,2019-02-16 20:23:42
15498,1,2014,"Hills, L.V., S. Tolman, P. McNeil, and B. Kooyman. 2014. Late Wisconsinan helmeted muskoxen (Bootherium bombifrons) from southwestern Alberta, Canada. Canadian Journal of Earth Sciences 51(1):25-31. [DOI: 10.1139/cjes-2013-0078]","Late Wisconsinan helmeted muskoxen (Bootherium bombifrons) from southwestern Alberta, Canada",Canadian Journal of Earth Sciences,51,1,25-31,,10.1139/cjes-2013-0078,,,,,,,,,,,,,,2019-02-16 22:54:28,2019-02-16 22:54:28
15499,1,2019,"Jiang, W., S.A.G. Leroy, S. Yang, E. Zhang, L. Wang, X. Yang, and P. Rioual. 2019. Synchronous strengthening of the Indian and East Asian monsoons in response to global warming since the last deglaciation. Geophysical Research Letters in press.",Synchronous strengthening of the Indian and East Asian monsoons in response to global warming since the last deglaciation,Geophysical Research Letters,in press,,,,,,,,,,,,,,,,,,2019-02-17 21:39:07,2019-02-17 21:39:07
15500,1,2018,"Pelton, S.R., R.L. Shimek, B. Grund, M. Mackie, and T.A. Surovell. 2018. The Wold Bison Jump (48JO966) and its relation to the ancestral Crow on the Northwest Plains. Plains Anthropologist 64(249):68-92. [DOI: 10.1080/00320447.2018.1464369]",The Wold Bison Jump (48JO966) and its relation to the ancestral Crow on the Northwest Plains,Plains Anthropologist,64,249,68-92,,10.1080/00320447.2018.1464369,,,,,,,,,,,,,,2019-02-18 04:29:58,2019-02-18 04:29:58
15501,1,2016,"Grund, B.S., S.R. Pelton, T.A. Surovell, N.A. Matthews, and T.A. Noble. 2016. Bison jump location is primarily predicted by minimizing visibility at the Wold Site, Johnson County, Wyoming. American Antiquity 81(4):752-763. [DOI: 10.7183/0002-7316.81.4.752]","Bison jump location is primarily predicted by minimizing visibility at the Wold Site, Johnson County, Wyoming",American Antiquity,81,4,752-763,,10.7183/0002-7316.81.4.752,,,,,,,,,,,,,,2019-02-18 04:34:59,2019-02-18 04:34:59
15502,1,2017,"Weide, D.M., S.C. Fritz, C.A. Hastorf, M.C. Bruno, P.A. Baker, S. Guedron, and W. Salenbien. 2017. A ~6000 yr diatom record of mid- to late Holocene fluctuations in the level of Lago Winaymarca, Lake Titicaca (Pery/Bolivia). Quaternary Research 88(2):179-192. [DOI: doi:10.1017/qua.2017.49]","A ~6000 yr diatom record of mid- to late Holocene fluctuations in the level of Lago Winaymarca, Lake Titicaca (Pery/Bolivia)",Quaternary Research,88,2,179-192,,doi:10.1017/qua.2017.49,,,,,,,,,,,,,,2019-02-18 22:11:58,2019-02-18 22:19:17
